White,Black,Hispanic,Asian,Pacific Islander,Amer Indian,Multi raced,Non resident,Gender,Degree,gradYear
119417,10040,12511,19688,359,965,1999,8514,Male,Bachelors,2011
126158,10858,14012,20689,416,922,2679,10068,Male,Bachelors,2012
130099,12047,15997,22504,497,985,3399,10815,Male,Bachelors,2013
135164,12034,18231,23217,476,915,4887,12011,Male,Bachelors,2014
139061,12669,20158,24530,484,913,6173,13844,Male,Bachelors,2015
142174,12756,22551,26599,449,832,7258,16086,Male,Bachelors,2016
146821,13428,25150,28412,432,827,8103,19113,Male,Bachelors,2017
149219,13889,27200,30525,446,847,8782,21835,Male,Bachelors,2018
58477,8646,7246,13358,218,573,1308,4161,Female,Bachelors,2011
61820,9350,8301,14243,278,604,1720,4670,Female,Bachelors,2012
64234,9464,9313,14673,257,606,2184,5266,Female,Bachelors,2013
66414,9561,10424,15390,289,577,3332,5690,Female,Bachelors,2014
68789,9868,12106,16155,271,505,4098,6225,Female,Bachelors,2015
71970,10290,13474,17440,253,519,4762,7381,Female,Bachelors,2016
74803,11000,15246,18973,232,501,5287,8541,Female,Bachelors,2017
76982,11405,16835,20693,267,547,5903,9868,Female,Bachelors,2018
25514,2318,2341,5541,63,176,459,23205,Male,Masters,2011
27720,2512,2568,5499,63,159,615,24076,Male,Masters,2012
27745,2889,2934,5875,69,149,869,24839,Male,Masters,2013
28044,2911,3143,5631,73,140,949,27013,Male,Masters,2014
27524,3046,3363,5694,80,137,1029,34671,Male,Masters,2015
27462,3072,3450,6134,62,153,1245,45474,Male,Masters,2016
27832,3162,3702,6733,78,150,1310,50779,Male,Masters,2017
28847,3399,4079,6690,61,114,1417,47896,Male,Masters,2018
10779,1653,1146,3078,33,72,211,9682,Female,Masters,2011
11294,1871,1291,2987,42,110,374,10431,Female,Masters,2012
11745,2022,1334,3200,28,86,484,11107,Female,Masters,2013
12197,1972,1474,3261,34,75,531,12630,Female,Masters,2014
12482,2074,1606,3405,34,71,597,16447,Female,Masters,2015
12737,2163,1841,3729,30,77,692,20821,Female,Masters,2016
13153,2295,1953,3974,43,85,786,23247,Female,Masters,2017
13877,2449,2212,4214,45,67,881,24006,Female,Masters,2018
